"RepoRelPath","Extension","SizeBytes","SHA256","Purpose","Contents","CategoryLabel","EvidenceType","FailureExplanation","SourcePath","ExtractOrFull","Notes"
"extracts/01_transcripts/2026-01-29__Perplexity_Math_Chats__summary__001.md",".md","1814","5641889EC80782BF194184161D71DE703A6FB5646E1F276E477B62B52E43207A","Evidence extract (transcripts/transcript) documenting a failure or relevance; Duplicate of FRV2-0637.","Metadata header + excerpt from the source file.","transcripts","transcript","Duplicate of FRV2-0637.","MUST_Review/Perplexity_Math_Chats copy.docx","extract",""
"extracts/01_transcripts/2026-01-29__Updated_Chats_Combined_complete__summary__001.md",".md","4494","37DFFEC033A67E75102CD5BAEC04862722A42B64CF379B736CBF1DB7F2868B3D","Evidence extract (transcripts/transcript) documenting a failure or relevance; Chat transcript documenting model behavior.","Metadata header + excerpt from the source file.","transcripts","transcript","Chat transcript documenting model behavior.","MUST_Review/Updated_Chats_Combined_complete.pdf","extract",""
"extracts/01_transcripts/README.md",".md","295","6AA7D9769070E7A56F5F02C15E4924A9E8174326B14302F24A5F2019EAEA2182","Model transcripts and chat logs where the system gives incorrect or incomplete answers (non‑test sessions).","Transcript extracts with metadata headers.","","","","","",""
"extracts/02_tests/2026-01-29__Meta_CodeBundle_Latest_Codes__summary__001.md",".md","728","5A8BC5B414DC8F84084B2CB73A7F1EA37BB7EC199DFF6E85EEB841F293D15D8F","Evidence extract (tests/test-summary) documenting a failure or relevance; Test result or evaluation summary.","Metadata header + excerpt from the source file.","tests","test-summary","Test result or evaluation summary.","MUST_Review/Meta_CodeBundle_Latest_Codes.md","extract",""
"extracts/02_tests/README.md",".md","256","8CDE5E93971CEB450D0D30776BF88E844353B366DF09830EBCE91AD1113D0690","Strict test runs and operator protocols used to probe operational completeness.","Test extracts with metadata headers.","","","","","",""
"extracts/03_failed_attempts/2026-01-29__10-29-25-Opus-4.1-test-summary__test_summary__001.md",".md","1314","E7947AE2828279BE4941BBA1E3013E802D6717139082B7128042D55CB279240A","Evidence extract (failed_attempts/test-summary) documenting a failure or relevance; The rec_succ rule can increase ordinal measures when s is complex, so standard ordinal measures do not prove termination without extra constraints.","Metadata header + excerpt from the source file.","failed_attempts","test-summary","The rec_succ rule can increase ordinal measures when s is complex, so standard ordinal measures do not prove termination without extra constraints.","MUST_Review/chats/10-29-25-Opus-4.1-test-summary.md","extract",""
"extracts/03_failed_attempts/2026-01-29__10-30-25-Opus-4.1-strict_verification__diagnostic__001.md",".md","863","2129FE7ADA598BCA851F8699C18DDD5F975111F688D29385A50D4212C0346884","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Duplicate of MUST_Review\\chats\\10-30-25-Opus-4.1-strict_verification.md.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Duplicate of MUST_Review\\chats\\10-30-25-Opus-4.1-strict_verification.md.","MUST_Review/chats/10-30-25-Opus-4.1-strict_verification copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__2025_10_22_eureka_caveat_the_messages_below_were_generated_by_the_u__summary__001.md",".md","914","A381A3076F03A2417701D76D3587F2135BC3CB627EC36F8DDB7B66FF33257713","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/2025-10-22-eureka-caveat-the-messages-below-were-generated-by-the-u.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__2025_11_19_gemini_pro_3__transcript__001.md",".md","819","2E13918796CE758BBD095B176CC17EA9D5C3762778DF434242BA32644E18D8DC","Evidence extract (failed_attempts/transcript) documenting a failure or relevance; Gemini Pro 3 attempts a termination method but leans on external measures despite operator-only constraints.","Metadata header + excerpt from the source file.","failed_attempts","transcript","Gemini Pro 3 attempts a termination method but leans on external measures despite operator-only constraints.","MUST_Review/Gemeni-3-Test/2025-11-19-gemini-pro-3.md","extract",""
"extracts/03_failed_attempts/2026-01-29__2025-10-27-opus-4.1__measure_attempt__001.md",".md","966","8A49E960312C4EFB7FF86AB14DFAB83F81DEC95DE1A327BC37143F614A9A0D56","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; Adds a triple-measure lexicographic proof scaffold without showing strict decrease for all rules.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","Adds a triple-measure lexicographic proof scaffold without showing strict decrease for all rules.","MUST_Review/chats/2025-10-27-opus-4.1.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__2025-10-30-1230pm-opus-4.1__measure_attempt__001.md",".md","903","EA514954C9F6746386018C28BED3A9F251C795F8026D34020BD38E2D464A5CDB","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; Repeats the triple-measure proof scaffold without establishing strict decrease for all rules.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","Repeats the triple-measure proof scaffold without establishing strict decrease for all rules.","MUST_Review/chats/2025-10-30-1230pm-opus-4.1.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__2025-10-30-1240pm-opus-4.1__measure_attempt__001.md",".md","868","358E41CDF79A1ECD85A06C416FBB2B12C96F283101270F7551F60FBFBD8B0D17","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; Repeats the triple-measure proof scaffold without establishing strict decrease for all rules.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","Repeats the triple-measure proof scaffold without establishing strict decrease for all rules.","MUST_Review/chats/2025-10-30-1240pm-opus-4-1.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__27-10-25-codex__test__001.md",".md","1700","4359CD0CE5CE74AF678A5ADC436B252551086276A881272C7AE4EC313FBD3406","Evidence extract (failed_attempts/chat) documenting a failure or relevance; Feasibility response without concrete proof obligations.","Metadata header + excerpt from the source file.","failed_attempts","chat","Feasibility response without concrete proof obligations.","MUST_Review/chats/tests/27-10-25-codex-.md","extract",""
"extracts/03_failed_attempts/2026-01-29__3_Termination_Consolidation__report__001.md",".md","694","F75A1EB18963F313BD3C4F3736F4FBF8B17B4AA3ABA5927AA79AECBB5108E4FF","Evidence extract (failed_attempts/report) documenting a failure or relevance; Duplicate of FRV2-0339.","Metadata header + excerpt from the source file.","failed_attempts","report","Duplicate of FRV2-0339.","MUST_Review/3.Termination_Consolidation copy 3.md","extract",""
"extracts/03_failed_attempts/2026-01-29__3_Termination_Consolidation_copy__summary__001.md",".md","1429","4C092681D4EC9D2C5288C3EABC3527710C60CA77DECAD236222DEA8673FAE358","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0400.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0400.","MUST_Review/3.Termination_Consolidation copy 2.md","extract",""
"extracts/03_failed_attempts/2026-01-29__5th_6th_candidates__summary__001.md",".md","1321","F4CEF4B215E4225DF4BABA0DD28E0C021AA121A549112FF3ECEBE16C2788D54F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/5th-6th candidates.md","extract",""
"extracts/03_failed_attempts/2026-01-29__5th_6th_candidates_html__analysis__001.md",".md","756","D9BBA3201235866BB4BF0E4B3C46539AB391C4E063C507824FF5D5A51FFC9AB2","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Candidate review flags non-monotone measures and unresolved peaks in proposed kernels.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Candidate review flags non-monotone measures and unresolved peaks in proposed kernels.","MUST_Review/markdown_output/5th-6th_candidates_html.md","extract",""
"extracts/03_failed_attempts/2026-01-29__5th_6th_candidates_html__summary__001.md",".md","1045","D1AA82AE49990BB405286680E5D7C0EDE6E28E2B9D3AB34473236CFF52FC54A1","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/5th-6th_candidates_html.md","extract",""
"extracts/03_failed_attempts/2026-01-29__agent__summary__001.md",".md","1274","6B55679C5F3302439ACEA711818E83FA15ED2B65030BD8B1FD18760D69B493B0","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/agent.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AGENT_copy__summary__001.md",".md","1308","37EA4F702B9E1CBCFBAF9C9C26867BC3D4CF4D04D1CD4DCA219889219AD9555C","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0451.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0451.","MUST_Review/AGENT copy 2.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Behavioral_Analysis_Consolidated_copy__summary__001.md",".md","1357","8CB1F8417E27FAF135ABDC7BA0681DB49D12FC96BEA9A14FBB615E3AA3158253","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/AI_Behavioral_Analysis_Consolidated copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_BrainStorm_SN__analysis__001.md",".md","1274","22138CE4E62B9955CA8095A1E176566BFB671CFF4C4910876E9B714DE5B69E58","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0159.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0159.","MUST_Review/important_2/AI_BrainStorm_SN.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_fails_analysis__analysis__001.md",".md","710","FEB9BF07935CCE878372199E6782BED7E2676EB4684AA9892F20F9D97049001B","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0234.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0234.","MUST_Review/AI_fails_analysis.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Flaws_Differential_Diagnostic__summary__001.md",".md","1433","6E6B49FF008C879C38FA436A4B8EC14DB2B55E7D02FFC46A80F614E515558B57","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0461.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0461.","MUST_Review/rec_succ_Differential_Diagnostic.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Generated_Mathematical_Proofs_Techn__analysis__deep__001.md",".md","658","1B1D878EACF420C621D5440EA0C18A5528C16D18B560AF5C8FA72CEA78C83D09","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; PDF appears non-text/encoded; OCR required to verify any proof claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","PDF appears non-text/encoded; OCR required to verify any proof claims.","MUST_Review/AI-Generated Mathematical Proofs_ Techn...pdf","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Retardation_Differential_Diagnostic__summary__001.md",".md","1457","925D3EC4E854C821F6378081587082D76A971F5DD41F54A9ABDFCA40D51E150D","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/AI_Retardation_Differential_Diagnostic.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Retardation_Ledger__summary__001.md",".md","2585","723C216E9AAC34C2AD41CAF22A87A63B09010C2ACA32F8F083941B4457B08441","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0455.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0455.","MUST_Review/AI-Retardation-Ledger copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__AI_Vocabulary_Control_System__summary__001.md",".md","745","D32E6EEFBDEC2A0317E589548DCACE99BE44BDFCBB3389F4C654E956836D0541","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0457.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0457.","MUST_Review/AI-Vocabulary-Control-System copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__assessments__analysis__001.md",".md","618","ED2DB3B114FA0101E7061A378847B6672EA189C91A10BE872E8C92A4897A4191","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0342.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0342.","MUST_Review/assessments.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Born_Rule_rec_succ_Isomorphism__summary__001.md",".md","1276","0947CF24C8CB4819A366AB86FB0C6C02BC34B51423326BB24842E9FFECEB3A87","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0476.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0476.","MUST_Review/Born_Rule_rec_succ_Isomorphism copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Borrowed_Logic_Inventory__analysis__001.md",".md","698","9EE0EC4A870AD7BFC9BA1E65B737B035B234D8E6A10C4B71AF8A9364376F5A65","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Inventory shows termination proof relies on external Nat operations, violating operator-only rules.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Inventory shows termination proof relies on external Nat operations, violating operator-only rules.","MUST_Review/Gemeni-3-Test/Borrowed_Logic_Inventory.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Branching_AI_copy__summary__001.md",".md","1173","1C32863B59E542F22C13ED2B835E1094B474904C95818BB652A2E22E84DB1E37","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/Branching_AI copy.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__Cascading_Growth_Rebuttal__analysis__001.md",".md","693","7E62328EDE0CCEF6714B47A302F8FC363A8EAD1F4225ADA1AB8B70F614CC9606","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Rebuttal assumes monotone measure without internal justification under operator-only constraints.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Rebuttal assumes monotone measure without internal justification under operator-only constraints.","MUST_Review/Gemeni-3-Test/Cascading_Growth_Rebuttal.md","extract",""
"extracts/03_failed_attempts/2026-01-29__claude_10_27_2025__transcript__001.md",".md","696","850840DAB14E321012B5A6B04CBE22A1E9E00FB75C5F62ACE963D231D50E974A","Evidence extract (failed_attempts/transcript) documenting a failure or relevance; Model asserts operator-only completeness in broad terms without system-specific proof.","Metadata header + excerpt from the source file.","failed_attempts","transcript","Model asserts operator-only completeness in broad terms without system-specific proof.","MUST_Review/important_2/claude_10_27_2025.md","extract",""
"extracts/03_failed_attempts/2026-01-29__CLAUDE_BRIEF__summary__001.md",".md","1308","AE3DA0EFB7E4D7D0C0B8B712C210B2FDE23FAD2A0E17D25444CD5A5CABBA8C40","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/CLAUDE_BRIEF.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Claude_SN__proof_attempt__002.md",".md","4639","ACCA6E1741FD08DD9C49C24C2F6E94C99921B8228CF3A955F885C7C8BC2A099C","Evidence extract (failed_attempts/proof-attempt) documenting a failure or relevance; Duplicate of Legacy\\Meta_Lean_Archive\\Claude_SN.lean.","Metadata header + excerpt from the source file.","failed_attempts","proof-attempt","Duplicate of Legacy\\Meta_Lean_Archive\\Claude_SN.lean.","MUST_Review/Meta_Lean_Archive/Claude_SN.lean","extract",""
"extracts/03_failed_attempts/2026-01-29__Claude_SN__sorry__001.md",".md","4660","6C7BF2CEDB6A4E53E1D2DAAD2AC4121C252CA28CD32B6E30202EA0A5290DB93C","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Explicit `sorry` leaves rec_succ delta branch unproven.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Explicit `sorry` leaves rec_succ delta branch unproven.","MUST_Review/MetaMD_Archive/Claude_SN.md","extract",""
"extracts/03_failed_attempts/2026-01-29__claude_sn_errors__diagnostic__001.md",".md","8762","82303FA71C9249652597B7492E4E430ACB5E58DF011CD5FBEA7293C7301467CE","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Diagnostics indicate missing cases and unknown identifiers in Claude_SN.lean.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Diagnostics indicate missing cases and unknown identifiers in Claude_SN.lean.","MUST_Review/MetaMD_Archive/claude_sn_errors.md","extract",""
"extracts/03_failed_attempts/2026-01-29__claude_sn_errors__diagnostic__002.md",".md","8743","01CA1B88B2CAF9BDE86FD27823218A5F5AC68E83A71D15C9FD0C1D2E3DD5877B","Evidence extract (failed_attempts/diagnostic) documenting a failure or relevance; Diagnostics indicate missing cases and unknown identifiers in Claude_SN.lean.","Metadata header + excerpt from the source file.","failed_attempts","diagnostic","Diagnostics indicate missing cases and unknown identifiers in Claude_SN.lean.","MUST_Review/MetaMD_Archive/claude_sn_errors.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__CLAUDE_STATUS_FOR_OPUS__summary__001.md",".md","1028","83D18C60107A447BBE3A890B514CBA2FF473998C477D74AE7ED6A09AAA429EF5","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/CLAUDE_STATUS_FOR_OPUS.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Claude_Strong_Normalization_Proof_for_OperatorKernelO6_Using_Double_Exponent_Ordinals__analysis__deep__001.md",".md","712","AB4E8AA996F29E08BAE360BF1492EC9FEDB97191E5495F801A4A8C5F9EDD60B3","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; PDF appears non-text/encoded; OCR required to verify the claimed proof.","Metadata header + excerpt from the source file.","failed_attempts","analysis","PDF appears non-text/encoded; OCR required to verify the claimed proof.","MUST_Review/Claude-Strong Normalization Proof for OperatorKernelO6 Using Double-Exponent Ordinals.pdf","extract",""
"extracts/03_failed_attempts/2026-01-29__claude_wrong__analysis__001.md",".md","770","4A41C10455DE172FB2F1A2264A3D1A1BA363D144560ABAC319A82493CBCA2137","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0161.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0161.","MUST_Review/claude_wrong.txt","extract",""
"extracts/03_failed_attempts/2026-01-29__CLEAN_ORDINAL_CONSULTATION__summary__001.md",".md","1042","738379D3116F3874ED5001866983615598485938D3BC4ECA557C34C9209816D1","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/CLEAN_ORDINAL_CONSULTATION.md","extract",""
"extracts/03_failed_attempts/2026-01-29__comments1__summary__001.md",".md","2780","CA5E6F48551BC66E40349782A8B1F0DB932B65D2784981F81B91584AC3E894B1","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Failure catalog or commentary documenting incorrect assumptions or blockers.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Failure catalog or commentary documenting incorrect assumptions or blockers.","MUST_Review/important_2/archive/comments1.md","extract",""
"extracts/03_failed_attempts/2026-01-29__commnets_2__summary__001.md",".md","1161","F6B557201D860B7F785398C1BCF4ED073B181E7B03A512A67AD873CD1CFFC336","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Failure catalog or commentary documenting incorrect assumptions or blockers.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Failure catalog or commentary documenting incorrect assumptions or blockers.","MUST_Review/important_2/archive/commnets_2.md","extract",""
"extracts/03_failed_attempts/2026-01-29__commnets_3__summary__001.md",".md","2407","547EC2E6673728F706AC81B9CE3A3699A7BD941846E13CE5DFE77F1A70EE9730","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Failure catalog or commentary documenting incorrect assumptions or blockers.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Failure catalog or commentary documenting incorrect assumptions or blockers.","MUST_Review/important_2/archive/commnets_3.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Comparative_Analysis_of_Termination_Approach__analysis__001.md",".md","732","9A24665995D5EDCB361272200197955F378A8F0B5E938258AE57895B6396F7A8","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Attributes success to multiplicative Nat weights, violating operator-only constraints.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Attributes success to multiplicative Nat weights, violating operator-only constraints.","MUST_Review/Gemeni-3-Test/Comparative_Analysis_of_Termination_Approach.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Comparative_Failure_Analysis__analysis__001.md",".md","681","B0B691365354B7148C266D8FB547BFF6C29B7CB1057024CE472EE3D09A20C10F","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Explains ordinal approach failure and promotes polynomial Nat measure.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Explains ordinal approach failure and promotes polynomial Nat measure.","MUST_Review/Gemeni-3-Test/Comparative_Failure_Analysis.md","extract",""
"extracts/03_failed_attempts/2026-01-29__COMPLETE_SOLUTION_REPORT__summary__001.md",".md","1254","8EFFFB3FFF986304CBA0BF21DE938415375BCD666D6F621321CCD8D640DBB889","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/COMPLETE_SOLUTION_REPORT.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Comprehensive_Termination_Analysis__report__001.md",".md","754","001ADD1E5D764B002A7DB9131113859867FAA6D6D818345B4D1C6488385C4831","Evidence extract (failed_attempts/report) documenting a failure or relevance; Claims termination via polynomial interpretation over Nat, violating operator-only rules.","Metadata header + excerpt from the source file.","failed_attempts","report","Claims termination via polynomial interpretation over Nat, violating operator-only rules.","MUST_Review/Gemeni-3-Test/Comprehensive_Termination_Analysis.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Confirmation_of_Termination__analysis__001.md",".md","666","820480E92F446D25AD6091D44BAB1F4FC955D27E4D2350F5CB58CE02DCEAB604","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Asserts termination while relying on external arithmetic assumptions.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Asserts termination while relying on external arithmetic assumptions.","MUST_Review/Gemeni-3-Test/Confirmation_of_Termination.md","extract",""
"extracts/03_failed_attempts/2026-01-29__Confluence_Safe__analysis__001.md",".md","631","B3D5F218F6A794395A8B3A98F610B505E3D26BBC9203DE11863B6D5E6CF44C37","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Duplicate of FRV2-0406.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Duplicate of FRV2-0406.","MUST_Review/Confluence_Safe copy.md","extract",""
"extracts/03_failed_attempts/2026-01-29__convert_docx_to_md__summary__001.md",".md","928","968646CAAEB1F3FD0260F51E8D77C5D3D6CBD22DC1D0494B13DB5BA855F12440","Evidence extract (failed_attempts/analysis) documenting a failure or relevance; Analysis or notes documenting failures, blockers, or unproven claims.","Metadata header + excerpt from the source file.","failed_attempts","analysis","Analysis or notes documenting failures, blockers, or unproven claims.","MUST_Review/convert-docx-to-md.ps1","extract",""
