"RelPath","FullName","Extension","SizeBytes","LastWriteTime","TopLevel","SHA256"
"AI-Retardation-Ledger copy.md","AI-Retardation-Ledger copy.md",".md","48066","12/08/2025 00:34:27","AI-Retardation-Ledger copy.md","5D3F0133B8D006B98F84A6511037825F887ED5642EF95A6ACC11D3BB10B28712"
"AI-Retardation-Ledger.md","AI-Retardation-Ledger.md",".md","48066","12/08/2025 00:34:27","AI-Retardation-Ledger.md","5D3F0133B8D006B98F84A6511037825F887ED5642EF95A6ACC11D3BB10B28712"
"AI-Vocabulary-Control-System copy.md","AI-Vocabulary-Control-System copy.md",".md","14719","11/28/2025 04:42:22","AI-Vocabulary-Control-System copy.md","044DC3F6780EEBA2BD362896383F79302F1CABD28218DDF5BB1B728FCA5449DE"
"AI-Vocabulary-Control-System.md","AI-Vocabulary-Control-System.md",".md","14719","11/28/2025 04:42:22","AI-Vocabulary-Control-System.md","044DC3F6780EEBA2BD362896383F79302F1CABD28218DDF5BB1B728FCA5449DE"
"all_suggestions copy 2.md","all_suggestions copy 2.md",".md","63346","08/19/2025 06:20:17","all_suggestions copy 2.md","3169AE5AC44818164F17CF7CD0E5DF71384A813065FF7E4F640C88533FE4BA86"
"all_suggestions copy.md","all_suggestions copy.md",".md","63346","08/19/2025 06:20:17","all_suggestions copy.md","3169AE5AC44818164F17CF7CD0E5DF71384A813065FF7E4F640C88533FE4BA86"
"all_suggestions.md","all_suggestions.md",".md","63344","11/01/2025 21:29:19","all_suggestions.md","B0C14910DB6D2C5713802C964F6C16759B5C743F47869F9CB8262A945F8BD2AD"
"ARCHIVE_INDEX copy.md","ARCHIVE_INDEX copy.md",".md","1875","11/21/2025 09:12:22","ARCHIVE_INDEX copy.md","836E3A86BF84B8F274325E938455B54F886D407DC53908E8ED6D173A1EB5A6DF"
"ARCHIVE_INDEX.md","ARCHIVE_INDEX.md",".md","1875","11/21/2025 09:12:22","ARCHIVE_INDEX.md","836E3A86BF84B8F274325E938455B54F886D407DC53908E8ED6D173A1EB5A6DF"
"assessments_closure.md","assessments_closure.md",".md","2197","08/20/2025 17:40:51","assessments_closure.md","F1DBE79C6EF8283CB17507DBDF2274107D0428DD2910F0707E4479AD00D4BF0B"
"assessments.md","assessments.md",".md","88835","08/19/2025 19:43:01","assessments.md","2351811A106C04DBAD6A6E90847933461BB1EF4A4D9150BCA16D17CABFC63791"
"basic.lean","basic.lean",".lean","2194","10/22/2025 07:00:42","basic.lean","1D9F37746306CDDAE89767B08533EF06AB27D83DCFF23A079DBFBEB84331F6A4"
"Born_Rule_rec_succ_Isomorphism copy 2.md","Born_Rule_rec_succ_Isomorphism copy 2.md",".md","11182","11/27/2025 12:18:15","Born_Rule_rec_succ_Isomorphism copy 2.md","43E4431925CC34AD9F2F8BD1D87258F9D3B82236C0804E50074FAD5097E783CE"
"Born_Rule_rec_succ_Isomorphism copy 3.md","Born_Rule_rec_succ_Isomorphism copy 3.md",".md","11182","11/27/2025 12:18:15","Born_Rule_rec_succ_Isomorphism copy 3.md","43E4431925CC34AD9F2F8BD1D87258F9D3B82236C0804E50074FAD5097E783CE"
"Born_Rule_rec_succ_Isomorphism copy.md","Born_Rule_rec_succ_Isomorphism copy.md",".md","11182","11/27/2025 12:18:15","Born_Rule_rec_succ_Isomorphism copy.md","43E4431925CC34AD9F2F8BD1D87258F9D3B82236C0804E50074FAD5097E783CE"
"Born_Rule_rec_succ_Isomorphism.md","Born_Rule_rec_succ_Isomorphism.md",".md","11182","11/27/2025 12:18:15","Born_Rule_rec_succ_Isomorphism.md","43E4431925CC34AD9F2F8BD1D87258F9D3B82236C0804E50074FAD5097E783CE"
"Branching_AI copy.txt","Branching_AI copy.txt",".txt","8183","11/15/2025 01:28:14","Branching_AI copy.txt","2E59173578479767BAE4BFCC1C1FE5E7D11BF452C6A4F608952347E180195575"
"Branching_AI.txt","Branching_AI.txt",".txt","8187","10/10/2025 01:39:56","Branching_AI.txt","896388D33F1D90FBB42D51CE71DAC02A41D5B0440FDAB825AF47EA9F6335BA8D"
"chat_Strong Normalization for the Safe Fragment (1).md","chat_Strong Normalization for the Safe Fragment (1).md",".md","38561","12/08/2025 03:14:25","chat_Strong Normalization for the Safe Fragment (1).md","D5834FC8EAB3030FF10A6C7FE2A144E846894451C1687027E6A70831074FA34B"
"chatgpt-turing copy 2.md","chatgpt-turing copy 2.md",".md","3859","10/23/2025 08:33:51","chatgpt-turing copy 2.md","CBA4BF7E4CE440258E6EBEFF0BF6E7785ED422F71D73DD2A5B13EC8377ADDDAD"
"chatgpt-turing copy.md","chatgpt-turing copy.md",".md","3859","10/23/2025 08:33:51","chatgpt-turing copy.md","CBA4BF7E4CE440258E6EBEFF0BF6E7785ED422F71D73DD2A5B13EC8377ADDDAD"
"chatgpt-turing.md","chatgpt-turing.md",".md","3859","10/23/2025 08:33:51","chatgpt-turing.md","CBA4BF7E4CE440258E6EBEFF0BF6E7785ED422F71D73DD2A5B13EC8377ADDDAD"
"CLAUDE_BRIEF.md","CLAUDE_BRIEF.md",".md","8410","08/18/2025 01:27:54","CLAUDE_BRIEF.md","434C243F1128513DE976ABE0DDE2E3BA0C54D66E4D27F42EEBCD51587B358CAB"
"CLAUDE_STATUS_FOR_OPUS.md","CLAUDE_STATUS_FOR_OPUS.md",".md","4210","08/18/2025 01:27:54","CLAUDE_STATUS_FOR_OPUS.md","3715B2CC88E5C24D226C45E141D9D689204F2EA7B3666460540649381A50E9C9"
"claude_wrong.txt","claude_wrong.txt",".txt","6715","10/10/2025 01:39:39","claude_wrong.txt","7F84533614657FD9374FAF2A50101CE0960EF5BBB677791F2F8F9F0F19E7083D"
"Claude-Strong Normalization Proof for OperatorKernelO6 Using Double-Exponent Ordinals.pdf","Claude-Strong Normalization Proof for OperatorKernelO6 Using Double-Exponent Ordinals.pdf",".pdf","941107","10/10/2025 01:45:33","Claude-Strong Normalization Proof for OperatorKernelO6 Using Double-Exponent Ordinals.pdf","491E91D5A9335A41CD92B71C0F7A81F3459A643EFE060B2A681D38B8D3C846D9"
"CLEAN_ORDINAL_CONSULTATION.md","CLEAN_ORDINAL_CONSULTATION.md",".md","1396","08/18/2025 01:27:54","CLEAN_ORDINAL_CONSULTATION.md","BC9481093A1F49BC44047039BCA7A8691B00F3907F0A3FA1169833C564D684A3"
"commnets_summary copy.md","commnets_summary copy.md",".md","14182","08/18/2025 07:39:47","commnets_summary copy.md","33B33092EB4B1A6E23A31B9C98412769FB53E634D7EEF96E6BA18049EB291DDB"
"commnets_summary.md","commnets_summary.md",".md","14182","08/18/2025 07:39:47","commnets_summary.md","33B33092EB4B1A6E23A31B9C98412769FB53E634D7EEF96E6BA18049EB291DDB"
"COMPLETE_EXTRACTED_ISSUES_FROM_ASSESSMENTS.md","COMPLETE_EXTRACTED_ISSUES_FROM_ASSESSMENTS.md",".md","11912","08/21/2025 00:15:29","COMPLETE_EXTRACTED_ISSUES_FROM_ASSESSMENTS.md","F6249384DFD1AF9AFFEF12D50B29EE01A76733C57D4820D3DA492055001AA6F6"
"COMPLETE_SOLUTION_REPORT.md","COMPLETE_SOLUTION_REPORT.md",".md","3453","08/18/2025 01:27:54","COMPLETE_SOLUTION_REPORT.md","234773CBD1BCD7268BD29A2F2CC2C860729538B36051C10B17BCA491BEAB9226"
"Confluence_Safe copy 2.md","Confluence_Safe copy 2.md",".md","6854","08/18/2025 19:40:34","Confluence_Safe copy 2.md","960645EEC76D57B19FB98F34F500D89FDB3C4C7A0823BFF640C8EC8CE42F0E0C"
"Confluence_Safe copy.md","Confluence_Safe copy.md",".md","6854","08/18/2025 19:40:34","Confluence_Safe copy.md","960645EEC76D57B19FB98F34F500D89FDB3C4C7A0823BFF640C8EC8CE42F0E0C"
"Confluence_Safe.md","Confluence_Safe.md",".md","110","08/18/2025 19:40:34","Confluence_Safe.md","9F1D07F083BF0BC4FF7B725FC561F8993CE425F8308788EFE407E29C02B5FE2D"
"Consolidated_Meta_Termination_Patch.md","Consolidated_Meta_Termination_Patch.md",".md","244144","08/18/2025 01:27:55","Consolidated_Meta_Termination_Patch.md","E1B7370CEA3B6B1A33DFAEF60978C350B8A0E1DE99485D60D6B51A02440ABD7F"
"context_playbook.md","context_playbook.md",".md","1531","08/18/2025 01:27:54","context_playbook.md","47131B394AAD1AC0D8CE6AC5B817037223117A56A4FAE4019645572F26134A66"
"CONTEXT_RESTORATION_GUIDE.md","CONTEXT_RESTORATION_GUIDE.md",".md","1621","08/18/2025 01:27:54","CONTEXT_RESTORATION_GUIDE.md","BF125D0AC3A56C40E1D21AA480D9FD0DEE091072C8FDE130F023D001A4145C48"
"CONVERSATION_BACKUP_COMPLETE.md","CONVERSATION_BACKUP_COMPLETE.md",".md","7892","08/18/2025 01:27:54","CONVERSATION_BACKUP_COMPLETE.md","8877CE76F22B7580643255DE4B31F0A307B69326D4A7D0AD61A8B92F3094406C"
"convert-docx-to-md.ps1","convert-docx-to-md.ps1",".ps1","2387","10/23/2025 04:26:17","convert-docx-to-md.ps1","300F0619AA1F474C061A00AA0BC97474F3AA830A389FB33DC3CA1B5B27915B57"
"copilot-instructions copy.md","copilot-instructions copy.md",".md","10757","09/03/2025 04:42:55","copilot-instructions copy.md","36F1E4B2263E492F335301243DF6333EA6224A7C46890AD9F9403015ADD78200"
"copilot-instructions_large.md","copilot-instructions_large.md",".md","39915","08/18/2025 01:27:54","copilot-instructions_large.md","BBBF85BBD8FC234219A646D5074B3ACF0597E2B380B06C9ADC6D2340B2073AC4"
"copilot-instructions.md","copilot-instructions.md",".md","5334","11/02/2025 09:00:14","copilot-instructions.md","B80215F6FB5C2BE39E91776E206F01A751A9CE0C7B4C80FAA523B57450667AD5"
"copilot.md","copilot.md",".md","39923","10/21/2025 09:22:16","copilot.md","0A3C0CDE0DBF4CBFBF09C912DE60CC2D2506FD6742E7C282648707B38E66AA5A"
"Deep_RecSucc_Analysis copy 2.md","Deep_RecSucc_Analysis copy 2.md",".md","12532","10/29/2025 21:49:57","Deep_RecSucc_Analysis copy 2.md","9905059919C8627E2D90E4C8B8572EBD1673B91E8E9225E0D16CCC5E7BB90469"
"Deep_RecSucc_Analysis copy 3.md","Deep_RecSucc_Analysis copy 3.md",".md","12532","10/29/2025 21:49:57","Deep_RecSucc_Analysis copy 3.md","9905059919C8627E2D90E4C8B8572EBD1673B91E8E9225E0D16CCC5E7BB90469"
"Deep_RecSucc_Analysis copy 4.md","Deep_RecSucc_Analysis copy 4.md",".md","12532","10/29/2025 21:49:57","Deep_RecSucc_Analysis copy 4.md","9905059919C8627E2D90E4C8B8572EBD1673B91E8E9225E0D16CCC5E7BB90469"
"Deep_RecSucc_Analysis copy.md","Deep_RecSucc_Analysis copy.md",".md","12532","10/29/2025 21:49:57","Deep_RecSucc_Analysis copy.md","9905059919C8627E2D90E4C8B8572EBD1673B91E8E9225E0D16CCC5E7BB90469"
"Deep_RecSucc_Analysis.md","Deep_RecSucc_Analysis.md",".md","12532","10/29/2025 21:49:57","Deep_RecSucc_Analysis.md","9905059919C8627E2D90E4C8B8572EBD1673B91E8E9225E0D16CCC5E7BB90469"
"Deep_RecSucc_Analysis.pdf","Deep_RecSucc_Analysis.pdf",".pdf","125019","12/09/2025 23:03:01","Deep_RecSucc_Analysis.pdf","0789BB40777DF428EB9BDE4ABFB0DF526DC07D8FC4E205657721A0B45678546A"
"Detailed_Solution.md","Detailed_Solution.md",".md","7858","08/18/2025 01:27:54","Detailed_Solution.md","99EC1D62C9E6019D231B9A94727F9E634EF3A257F0F764DC9E6B72F38B3BE6CC"
"draft_paper.md","draft_paper.md",".md","14182","08/18/2025 01:27:54","draft_paper.md","C852ED460064B511D6461A7CBE1B8F2D3DC083A51BEC9F71400543675893C236"
"Dropped_Concepts copy.md","Dropped_Concepts copy.md",".md","2187","11/27/2025 20:44:32","Dropped_Concepts copy.md","BB854B4A05DBF70E941223CCE687403548A528050BB8011B779C7953ECF19ED2"
"Dropped_Concepts.md","Dropped_Concepts.md",".md","2187","11/27/2025 20:44:32","Dropped_Concepts.md","BB854B4A05DBF70E941223CCE687403548A528050BB8011B779C7953ECF19ED2"
"DualLex_Counterexample copy.md","DualLex_Counterexample copy.md",".md","1070","12/16/2025 16:53:10","DualLex_Counterexample copy.md","8FADDFDC503091CE7CB0526160C98598AD110414924C251B9B20C8BC6652BDE9"
"DualLex_Counterexample.md","DualLex_Counterexample.md",".md","1070","12/10/2025 10:16:57","DualLex_Counterexample.md","8FADDFDC503091CE7CB0526160C98598AD110414924C251B9B20C8BC6652BDE9"
"EOD_2025-08-13.md","EOD_2025-08-13.md",".md","3794","08/18/2025 07:39:47","EOD_2025-08-13.md","52C107BA37B3F2FC6F2C398AA0500D3691B3DEED10ED19CC32086E54ACC074E7"
"EOD_Report_2024 copy.md","EOD_Report_2024 copy.md",".md","6258","08/19/2025 06:20:17","EOD_Report_2024 copy.md","E5B74F156A1333B6B3EE2B51806DD78C3836B282F22B313E814FB92404DACF29"
"EOD_Report_2024.md","EOD_Report_2024.md",".md","6258","08/19/2025 06:20:17","EOD_Report_2024.md","E5B74F156A1333B6B3EE2B51806DD78C3836B282F22B313E814FB92404DACF29"
"Expanded_Ordinal_Toolkit.md","Expanded_Ordinal_Toolkit.md",".md","47679","08/18/2025 01:27:55","Expanded_Ordinal_Toolkit.md","C7F256CD4459BB896F8161FE6EB4903B2D62FFD4AE7A8CCCD134D31BD9F47289"
"EXPERT_CONSULTATION_PACKAGE.md","EXPERT_CONSULTATION_PACKAGE.md",".md","16905","08/18/2025 01:27:54","EXPERT_CONSULTATION_PACKAGE.md","48B9B5C0AF2BB5051F12D6CCEBF3B8260524DC15BE62C29838BAA186A9B6BA39"
"Extracted_candidate_identifiers.csv","Extracted_candidate_identifiers.csv",".csv","6601","08/19/2025 09:23:34","Extracted_candidate_identifiers.csv","A4AAA5FDCFF60F64D1D7C2DDF4B04696F52F9364894B3FB8D34D621E5B5993E7"
"EXTRACTED_ISSUES_FROM_ASSESSMENTS.md","EXTRACTED_ISSUES_FROM_ASSESSMENTS.md",".md","2957","08/21/2025 00:03:46","EXTRACTED_ISSUES_FROM_ASSESSMENTS.md","BB5275A57E60BAEFB67D54D88FC20182D5BDFACF72BD042727912AC63721E3BE"
"EXTRACTED_ISSUES_REPORT.md","EXTRACTED_ISSUES_REPORT.md",".md","19338","08/19/2025 20:54:53","EXTRACTED_ISSUES_REPORT.md","FCDFCD8D75C47B7C784442B5B528771907A9F85293623F159A64479192DEB43F"
"fails copy.md","fails copy.md",".md","5942","08/18/2025 07:39:47","fails copy.md","08DEF1F5BB775090695C61060645F8B79C40982E546001BAF26F55B7503B21DF"
"fails_2.md","fails_2.md",".md","10651","08/18/2025 07:39:47","fails_2.md","988DE49D3CA60F77EA430293B67727A0941D825C77A36046B8256D86FF19FB23"
"fails_3.md","fails_3.md",".md","10954","08/18/2025 07:39:47","fails_3.md","FD43A54BE062CEE146E68A4EFA8737DE5C5C0DEF835EED23301D2110124CFB75"
"fails_central copy 2.md","fails_central copy 2.md",".md","7517","08/18/2025 19:26:13","fails_central copy 2.md","4D2F02E085E5EA05E4E174D84FAE40915695F7E41DFC9676DC80DFB7D26E2BA6"
"fails_central copy.md","fails_central copy.md",".md","7517","12/10/2025 10:16:57","fails_central copy.md","4D2F02E085E5EA05E4E174D84FAE40915695F7E41DFC9676DC80DFB7D26E2BA6"
"fails_central.md","fails_central.md",".md","7517","08/18/2025 07:39:47","fails_central.md","4D2F02E085E5EA05E4E174D84FAE40915695F7E41DFC9676DC80DFB7D26E2BA6"
"fails.md","fails.md",".md","5942","08/18/2025 01:27:55","fails.md","08DEF1F5BB775090695C61060645F8B79C40982E546001BAF26F55B7503B21DF"
"FailureReenactments.md","FailureReenactments.md",".md","2590","09/01/2025 21:32:15","FailureReenactments.md","5E298D6D52AF4D395B4C78CEE692D7599D6560A2F924204687EDC62359714497"
"FALSE_ASSUMPTIONS_LEDGER.md","FALSE_ASSUMPTIONS_LEDGER.md",".md","1503","08/19/2025 03:17:16","FALSE_ASSUMPTIONS_LEDGER.md","6B8A8A1FECEDB47AB4A2EA8E328F7ADBADE11DDD8E037C1B930647DA55926A1E"
"flaws.txt","flaws.txt",".txt","634951","10/14/2025 15:19:48","flaws.txt","704860FB8882D57CAA821F23AFF6EADA479449324483655E9BF86A6DBEE203A1"
"for_claude copy.md","for_claude copy.md",".md","8593","08/18/2025 01:27:54","for_claude copy.md","E584CED948532E69E8DCF2CB19936CFE50F1F4CA73B0B4BE28CDF9FE77100B14"
"Gemini-Suggestion.md","Gemini-Suggestion.md",".md","9399","12/07/2025 22:26:47","Gemini-Suggestion.md","9C51048499EBEB9B9AABC73D26634CF2D2E01E4B6A35931FD5B9AA47C30AF08A"
"gemini.md","gemini.md",".md","15196","08/18/2025 01:27:54","gemini.md","7741C3F292BDCE3B8CC01C920A9E88A8B8C0F05006C2CFC356AE5D3878BB0BAF"
"GPT-5.1-Params_1 copy.md","GPT-5.1-Params_1 copy.md",".md","16276","11/27/2025 10:53:11","GPT-5.1-Params_1 copy.md","12815167A749CA76E51166E150108F340D7DED68C247EC1A8974C9129D219BDD"
"GPT-5.1-Params_1.md","GPT-5.1-Params_1.md",".md","16276","11/27/2025 10:53:11","GPT-5.1-Params_1.md","12815167A749CA76E51166E150108F340D7DED68C247EC1A8974C9129D219BDD"
"GPT-5.1-Params_2 copy.md","GPT-5.1-Params_2 copy.md",".md","32209","11/27/2025 12:00:44","GPT-5.1-Params_2 copy.md","9CCBB1C74C78B901AD9CAD048C5EAB9B2AD3193188D36CE1DF4E0F1D889A36D1"
"GPT-5.1-Params_2.md","GPT-5.1-Params_2.md",".md","32209","11/27/2025 12:00:44","GPT-5.1-Params_2.md","9CCBB1C74C78B901AD9CAD048C5EAB9B2AD3193188D36CE1DF4E0F1D889A36D1"
"GPT-5.2-27-1-2026.md","GPT-5.2-27-1-2026.md",".md","9022","01/27/2026 21:07:51","GPT-5.2-27-1-2026.md","12C3F7F790D5C9C1F0BAF54C80128E3DA4B287BEC871D09956F5CD6BD1B21B15"
"GPT5_CONSOLIDATION_BRIEFING.md","GPT5_CONSOLIDATION_BRIEFING.md",".md","9091","08/18/2025 01:27:54","GPT5_CONSOLIDATION_BRIEFING.md","6DAD1EA43147B1E42AB5182F0FF478617BB1885C66439122A4BF464F6F558640"
"Hybrid_Termination copy 2.md","Hybrid_Termination copy 2.md",".md","2721","08/18/2025 19:40:34","Hybrid_Termination copy 2.md","0E11C233BFD80969B473577B77DE82D252C055015736892EA6CBDF40D0A2330F"
"Hybrid_Termination copy.md","Hybrid_Termination copy.md",".md","2721","08/18/2025 19:40:34","Hybrid_Termination copy.md","0E11C233BFD80969B473577B77DE82D252C055015736892EA6CBDF40D0A2330F"
"Hybrid_Termination.md","Hybrid_Termination.md",".md","1029","08/18/2025 21:03:25","Hybrid_Termination.md","5698103894EB694B70446BAFD3D855246472F2D0604D3F45227AFD4B8194465F"
"important-claude-repo-config-chat.txt","important-claude-repo-config-chat.txt",".txt","34108","10/22/2025 06:18:28","important-claude-repo-config-chat.txt","694DE44184B6CF73D6A88265217925A2C87B13BCF11F6105EB31965C8B2F1A58"
"INDEX copy.md","INDEX copy.md",".md","454","08/18/2025 19:23:28","INDEX copy.md","99763537187AA4300DC884E4751497523B631E16F792CEB566334F04D18E98CC"
"INDEX.md","INDEX.md",".md","792","08/18/2025 02:00:10","INDEX.md","576709540EE1170D132EED4CB82543C8928DA2D5198B920A307ADE0A494C384E"
"kernel_analysis copy 2.md","kernel_analysis copy 2.md",".md","81434","08/18/2025 01:27:54","kernel_analysis copy 2.md","06D45E825EBDE4BC3DA2DA0FE7F4DF40111DA6B9BDF74B4C9B7BE753975A208E"
"kernel_analysis copy.md","kernel_analysis copy.md",".md","81434","08/18/2025 01:27:54","kernel_analysis copy.md","06D45E825EBDE4BC3DA2DA0FE7F4DF40111DA6B9BDF74B4C9B7BE753975A208E"
"kernel_analysis.md","kernel_analysis.md",".md","81434","08/18/2025 01:27:54","kernel_analysis.md","06D45E825EBDE4BC3DA2DA0FE7F4DF40111DA6B9BDF74B4C9B7BE753975A208E"
"Kernel_Documentation.md","Kernel_Documentation.md",".md","1685","08/18/2025 01:27:54","Kernel_Documentation.md","DD00EB73B4179B3839D4644111674B6570A24C15866886A20DA324B76FD85C8E"
"ko6_guide.md","ko6_guide.md",".md","39380","08/18/2025 01:27:54","ko6_guide.md","55A6C1364B1DAE616E723CFF0AD8CBE1BAEE6AB7769A704D62CBCBCBA9CF0A0A"
