"RelPath","FullName","Extension","SizeBytes","LastWriteTime","TopLevel","SHA256","Category","CategoryLabel","EvidenceType","Model","Date","TestType","FailureMode","FailureExplanation","Description","Relevance","ExtractPath","FullIncludePath","Notes","Status"
"MUST_Review\Docs\Godel.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Godel.html",".html","11670","2025-08-18 01:27:54","Docs","633D3FFB7B8731A23050AA1A6E7FEB7FA49D78F78D9FABB0330E394D9144D39C","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Godel - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Godel__html__001.md","","","complete"
"MUST_Review\Docs\K06_Complete_Guide.html","C:\Users\Moses\OpComp\MUST_Review\Docs\K06_Complete_Guide.html",".html","45298","2025-08-18 01:27:54","Docs","80A51800F60940B49CA63CBAD21266A6845464542A27E5385A666B961E21EAF8","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: K06_Complete_Guide","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__K06_Complete_Guide__html__001.md","","","complete"
"MUST_Review\Docs\Kernel.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Kernel.html",".html","7754","2025-08-18 01:27:54","Docs","6BDE64970AAD9DEBBB7B54A6440B76C70FD97FA459F71127596597232BF15F11","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Kernel - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Kernel__html__001.md","","","complete"
"MUST_Review\Docs\Kernel_Documentation.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Kernel_Documentation.html",".html","7849","2025-08-18 01:27:54","Docs","4054FBBFB8D37FC59A45F501819E8D675963D084763664DC0CBE4D4698CA4295","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Kernel Analysis - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Kernel_Documentation__html__001.md","","","complete"
"MUST_Review\Docs\Meta.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Meta.html",".html","8745","2025-08-18 01:27:54","Docs","AA91E9074929A6FB7D0A08E5ECFD982BCB3993CCB6EB0F0B2DC63DCCA1E55861","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Meta - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Meta__html__001.md","","","complete"
"MUST_Review\Docs\Normalize.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Normalize.html",".html","10588","2025-08-18 01:27:54","Docs","AB393EB3CB7B6164DF68153920162C214CAE4A6CA69CA89126A056B9F314CAEE","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Normalize - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Normalize__html__001.md","","","complete"
"MUST_Review\Docs\O3-Pro.html","C:\Users\Moses\OpComp\MUST_Review\Docs\O3-Pro.html",".html","123962","2025-08-18 01:27:54","Docs","CE3AC88CC69F89BA3156E5BA2D4FF1A75B0FE3BD810857A4E9EE4E15165E6712","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: O3-Pro - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__O3-Pro__html__001.md","","","complete"
"MUST_Review\Docs\Operator_Centric_Foundations.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Operator_Centric_Foundations.html",".html","24490","2025-08-18 01:27:54","Docs","34B9EAA7DACCBB510C3603696C450EF3DFCAF62BECF9DF52BD157BCEE2AD4491","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Operatorâ€“Centric Foundations of GÃ¶delian Incompleteness","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Operator_Centric_Foundations__html__001.md","","","complete"
"MUST_Review\Docs\Operator_Centric_Foundations_of_Godelian_Incompleteness.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Operator_Centric_Foundations_of_Godelian_Incompleteness.html",".html","15579","2025-08-18 01:27:54","Docs","BD870D4B5C98E7CBEA61FE9A47AFCBD2DAA2AC202D7A5A8591839B17F87C3B19","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Operator Centric Foundations of Godelian Incompleteness","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Operator_Centric_Foundations_of_Godelian_Incompleteness__html__001.md","","","complete"
"MUST_Review\Docs\OperatorCentricFoundationsofGodelianIncompleteness.html","C:\Users\Moses\OpComp\MUST_Review\Docs\OperatorCentricFoundationsofGodelianIncompleteness.html",".html","16220","2025-08-18 01:27:54","Docs","6A017A26D47D192AC4A55CC9C9D16E543E33FCC849CBB6D8A5DDC550E80840B9","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Operator Centric Foundations of Godelian Incompleteness","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__OperatorCentricFoundationsofGodelianIncompleteness__html__001.md","","","complete"
"MUST_Review\Docs\OperatorKernelO6_Complete_Lean_Documentation.html","C:\Users\Moses\OpComp\MUST_Review\Docs\OperatorKernelO6_Complete_Lean_Documentation.html",".html","6649","2025-08-18 01:27:54","Docs","9A57B05EE2A9D6FF19A3F2688249988262998A8FE7C787A127033D7E7ECB45E1","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: OperatorKernelO6_Complete_Lean_Documentation - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__OperatorKernelO6_Complete_Lean_Documentation__html__001.md","","","complete"
"MUST_Review\Docs\ordinal-toolkit.html","C:\Users\Moses\OpComp\MUST_Review\Docs\ordinal-toolkit.html",".html","25711","2025-08-18 01:27:54","Docs","A7B73EE8A2F7F874D8D28DF93DC06BA6DCDC8A629843DEEF0E97534FE7010F06","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: ordinal-toolkit.md â€” OperatorKernelâ€¯O6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__ordinal-toolkit__html__001.md","","","complete"
"MUST_Review\Docs\ProofSystem.html","C:\Users\Moses\OpComp\MUST_Review\Docs\ProofSystem.html",".html","8206","2025-08-18 01:27:54","Docs","715DFD82436E7D5FD7C24CDA53E3F11AFADBDFC865492F0538A987B44BF952D2","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: ProofSystem - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__ProofSystem__html__001.md","","","complete"
"MUST_Review\Docs\Termination.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination.html",".html","74684","2025-08-18 01:27:54","Docs","55C12132A532861706B4F53A6AB5248D656A41C3F8C77F10877C99C73FED46AA","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Termination","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination__html__001.md","","","complete"
"MUST_Review\Docs\Termination_Companion.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination_Companion.html",".html","30816","2025-08-18 01:27:54","Docs","3D7DB014D7CA58680BC2C91864EDDBDA3E75FF6EE334681F48DA23B703354AF2","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Termination_Companion","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination_Companion__html__001.md","","","complete"
"MUST_Review\Docs\Termination_Documentation.html","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination_Documentation.html",".html","60412","2025-08-18 01:27:54","Docs","F787C04CA62B84DCADF7FEF218947CA7216DC0AFDEB1819E6270AF4DA5708B3C","5","misc","documentation","","","doc_html","","Documentation export.","HTML doc page: Termination Analysis - OperatorKernelO6","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination_Documentation__html__001.md","","","complete"
"MUST_Review\Docs\Agent.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Agent.pdf",".pdf","111388","2025-08-18 01:27:54","Docs","1368C7D28468560D9F18717C6FBA7E33706BE2CC859AB5154255E4D58B3801F2","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Agent__html__001.md","","Duplicate of FRV2-0255.","duplicate"
"MUST_Review\Docs\Arithmetic.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Arithmetic.pdf",".pdf","32881","2025-08-18 01:27:54","Docs","4865D1E1F7D856D8172AF41F38C55EB770CFF79C79BB9B6913E711D2D6458581","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Arithmetic__html__001.md","","Duplicate of FRV2-0256.","duplicate"
"MUST_Review\Docs\Chats.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Chats.pdf",".pdf","192611","2025-08-18 01:27:54","Docs","181C040D4A9929AA37C6572769C14A27E9CF0EF3820672CF096B33C41497264F","5","misc","roadmap","","","roadmap","","Planning roadmap and risk notes; not a proof artifact.","Planning notes outline O-6 syntax, proof stages, and three high-risk items with fallback options.","Medium","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Chats__summary__001.md","","Text extracted via PyPDF2 (ascii-stripped).","complete"
"MUST_Review\Docs\Complement.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Complement.pdf",".pdf","38345","2025-08-18 01:27:54","Docs","A754C6D6F8EF9E2300630EA35C8F073139A02C6A4725CBDE419BAEE50C6A18F3","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complement__html__001.md","","Duplicate of FRV2-0257.","duplicate"
"MUST_Review\Docs\Complete_Core_Documentation.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Complete_Core_Documentation.pdf",".pdf","593331","2025-08-18 01:27:54","Docs","94DACC90663048D157FF4F0B39E1FFE39843301815DEB8B91D1649C42DB669B3","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complete_Core_Documentation__html__001.md","","Duplicate of FRV2-0258.","duplicate"
"MUST_Review\Docs\Complete_Guide.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Complete_Guide.pdf",".pdf","259676","2025-08-18 01:27:54","Docs","EDA0385441695819F816F7D9D44A14D7743E3437A850081B0AB49C55F34EADCD","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Complete_Guide__html__001.md","","Duplicate of FRV2-0259.","duplicate"
"MUST_Review\Docs\Confluence.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Confluence.pdf",".pdf","32447","2025-08-18 01:27:54","Docs","C57CB6117D5867120AF19832D6795B66F2E54C00B654D7B2150C13FE86704767","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Confluence__html__001.md","","Duplicate of FRV2-0260.","duplicate"
"MUST_Review\Docs\Custom_Core_Documentation.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Custom_Core_Documentation.pdf",".pdf","152672","2025-08-18 01:27:54","Docs","C99175F1C25AAFEDCA276A1B59A57EA96045D13D3C8E12327AA81C6D8EB5CFCD","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Custom_Core_Documentation__html__001.md","","Duplicate of FRV2-0261.","duplicate"
"MUST_Review\Docs\Equality.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Equality.pdf",".pdf","38384","2025-08-18 01:27:54","Docs","8352599CEE8DF2379ABD9882DCA141203F6FD479EE32B207CEDF57468476AAAB","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Equality__html__001.md","","Duplicate of FRV2-0263.","duplicate"
"MUST_Review\Docs\FixedPoint.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\FixedPoint.pdf",".pdf","41703","2025-08-18 01:27:54","Docs","D51D8AEEBD240BB93A61E32583D4567C50CEE5FF598210348666B10E0A01616B","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__FixedPoint__html__001.md","","Duplicate of FRV2-0264.","duplicate"
"MUST_Review\Docs\Godel.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Godel.pdf",".pdf","50924","2025-08-18 01:27:54","Docs","1C266AF49BF1013EDF7979B48CFEDC8A5B281AE288D947D8343261A1D8F17F33","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Godel__html__001.md","","Duplicate of FRV2-0265.","duplicate"
"MUST_Review\Docs\Kernel.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Kernel.pdf",".pdf","37303","2025-08-18 01:27:54","Docs","A8A69C6083661974B076123CA084A9C1C8A687A50D71A85E0B364A3F01B68CC9","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Kernel__html__001.md","","Duplicate of FRV2-0267.","duplicate"
"MUST_Review\Docs\Kernel_Documentation.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Kernel_Documentation.pdf",".pdf","41972","2025-08-18 01:27:54","Docs","0E15A5D29C85A8F4ABFB6D5DCAED4871EF9D343EE3873EEA76FB12F37647B4F3","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Kernel_Documentation__html__001.md","","Duplicate of FRV2-0250.","duplicate"
"MUST_Review\Docs\Meta.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Meta.pdf",".pdf","39347","2025-08-18 01:27:54","Docs","CF84434DA6B2DE58748AC250104879B5D6CFA12C6B4703C190C775F0A4DE186D","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Meta__html__001.md","","Duplicate of FRV2-0021.","duplicate"
"MUST_Review\Docs\Methodological Overview for Strong Normalization Proof.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Methodological Overview for Strong Normalization Proof.pdf",".pdf","286140","2025-08-18 01:27:54","Docs","29919E2D44D68778242C4B58F5635033359C6105F755B4A687B64F76A9E1D41B","5","misc","documentation","","","methodology_overview","","Methodology narrative and AI-style guidance; no checked proof.","Narrative overview of ordinal-measure strategy with informal guidance on a key inequality.","Medium","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Methodological_Overview_for_Strong_Normalization_Proof__summary__001.md","","Text extracted via PyPDF2 (ascii-stripped).","complete"
"MUST_Review\Docs\Normalize.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Normalize.pdf",".pdf","50166","2025-08-18 01:27:54","Docs","535CB5B9CA956E08B900679C6698839278EBB6A38E510073C4678EA5DB85FFEB","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Normalize__html__001.md","","Duplicate of FRV2-0270.","duplicate"
"MUST_Review\Docs\OperatorKernelO6_Complete_Lean_Documentation.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\OperatorKernelO6_Complete_Lean_Documentation.pdf",".pdf","26756","2025-08-18 01:27:54","Docs","D16435C8F906112C155BCE13F2DA8ABDE966AC27BDE362B89BDDFE6471CC9503","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__OperatorKernelO6_Complete_Lean_Documentation__html__001.md","","Duplicate of FRV2-0275.","duplicate"
"MUST_Review\Docs\Operator_Centric_Foundations.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Operator_Centric_Foundations.pdf",".pdf","125880","2025-08-18 01:27:54","Docs","0E8F9C9B4263D5940E5E0139382FBE8DFB6849AA1DEEFC655FE1B3F2A65E52EC","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Operator_Centric_Foundations__html__001.md","","Duplicate of FRV2-0272.","duplicate"
"MUST_Review\Docs\ProofSystem.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\ProofSystem.pdf",".pdf","42049","2025-08-18 01:27:54","Docs","D2EAC625F4A3C1305FFE5F5F05AEFC30E3B749C4E72EB16981711ECB6AB94A5C","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__ProofSystem__html__001.md","","Duplicate of FRV2-0277.","duplicate"
"MUST_Review\Docs\Termination Analysis - OperatorKernelO6.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination Analysis - OperatorKernelO6.pdf",".pdf","607483","2025-08-18 01:27:54","Docs","E2B1DE3367D47AD9B6E7E01673093DFF10C933FAED20660C85DF86F15F7DF9B8","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination_Documentation__html__001.md","","Duplicate of FRV2-0280.","duplicate"
"MUST_Review\Docs\Termination.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination.pdf",".pdf","191756","2025-08-18 01:27:54","Docs","6542B62A703AFAB74BA467F66EF8C3601C0517BD2A63FBF35615EEE7A0E501C2","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination__html__001.md","","Duplicate of FRV2-0035.","duplicate"
"MUST_Review\Docs\Termination_Companion.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination_Companion.pdf",".pdf","165955","2025-08-18 01:27:54","Docs","957BF060DA7EE2624192BE22F3ECA3C606A18574BCE7EB525486AE5290675CBC","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination_Companion__html__001.md","","Duplicate of FRV2-0279.","duplicate"
"MUST_Review\Docs\Termination_Documentation.pdf","C:\Users\Moses\OpComp\MUST_Review\Docs\Termination_Documentation.pdf",".pdf","261636","2025-08-18 01:27:54","Docs","4AA32B1D8F12A369A2F5709166BE15696A26C5A7D6AE4C3EB224A40D9ACFFBB5","5","misc","pdf","","","","","PDF duplicate of corresponding .html content.","Duplicate content (pdf rendering).","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__Termination_Documentation__html__001.md","","Duplicate of FRV2-0254.","duplicate"
"MUST_Review\Docs\convert.ipynb","C:\Users\Moses\OpComp\MUST_Review\Docs\convert.ipynb",".ipynb","15141","2025-08-18 01:27:54","Docs","DBD4B6D9E8D47FD2B48E5400933B367B88383191E35D6540910BD9660D345809","5","misc","guide","","","conversion_tooling","","Tooling notebook; not evidence of proof success or failure.","Conversion helper for assembling documentation PDFs and combined outputs.","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__convert__summary__001.md","","Notebook contains conversion scaffold and older script notes.","complete"
"MUST_Review\Docs\diagrams\local_stack_overview.mmd","C:\Users\Moses\OpComp\MUST_Review\Docs\diagrams\local_stack_overview.mmd",".mmd","1187","2025-08-26 01:52:13","Docs","E676DAAEDE368FBCCEC278EFCB432558576D23514B08DBCAD721C31030B55CEF","5","misc","documentation","","","diagram","","Infrastructure diagram; not a proof artifact.","Diagram documents local service topology for Open WebUI and tool stack.","Low","C:\Users\Moses\OpComp\REVIEW_RESULTS\fresh_review_2026-01-29_v2\extracts\05_misc\2026-01-29__local_stack_overview__summary__001.md","","Mermaid diagram.","complete"
